"分数","分档人数(1分档)","累计人数(>=","累计人数(<=","累计百分比(>="
375,1,16,9538,0.00167486653407307
376,5,15,9543,0.0015701873756935
377,0,10,9543,0.00104679158379567
378,0,10,9543,0.00104679158379567
379,0,10,9543,0.00104679158379567
380,0,10,9543,0.00104679158379567
381,0,10,9543,0.00104679158379567
382,0,10,9543,0.00104679158379567
383,0,10,9543,0.00104679158379567
384,0,10,9543,0.00104679158379567
385,1,10,9544,0.00104679158379567
386,0,9,9544,0.0009421124254161
387,0,9,9544,0.0009421124254161
388,0,9,9544,0.0009421124254161
389,0,9,9544,0.0009421124254161
390,0,9,9544,0.0009421124254161
391,0,9,9544,0.0009421124254161
392,0,9,9544,0.0009421124254161
393,0,9,9544,0.0009421124254161
394,0,9,9544,0.0009421124254161
395,1,9,9545,0.0009421124254161
396,1,8,9546,0.000837433267036533
397,0,7,9546,0.000732754108656966
398,0,7,9546,0.000732754108656966
399,0,7,9546,0.000732754108656966
400,7,7,9553,0.000732754108656966
